0,0,0.353553,0.353553
0.353553,0.353553,0.825787,0.517856
0.353553,0.353553,0.333164,0.853137
0.825787,0.517856,1.3218,0.580901
0.825787,0.517856,1.322,0.456457
0.333164,0.853137,0.335211,1.32443
1.3218,0.580901,1.4674,1.05923
1.322,0.456457,1.8171,0.386637
0.335211,1.32443,0.333641,1.82443
0.335211,1.32443,0.487946,1.80054
1.4674,1.05923,1.93416,1.23851
1.8171,0.386637,2.3169,0.372263
1.8171,0.386637,1.91973,0.85805
0.333641,1.82443,0.314103,2.32405
1.93416,1.23851,2.42006,1.35639
1.93416,1.23851,1.82891,1.72731
2.42006,1.35639,2.89314,1.51824
2.42006,1.35639,2.34317,1.14816
1.82891,1.72731,1.92605,2.21778
2.89314,1.51824,3.1587,1.94189
2.89314,1.51824,2.91113,1.48452
2.34317,1.14816,2.27559,1.16732
1.92605,2.21778,2.00856,2.71093
3.1587,1.94189,3.61038,2.15632
3.1587,1.94189,3.65804,1.91623
2.91113,1.48452,3.02312,1.0132
2.00856,2.71093,1.85832,3.18782
3.61038,2.15632,3.92617,2.54398
1.85832,3.18782,1.41399,3.41709
3.92617,2.54398,4.20181,2.96114
3.92617,2.54398,4.42517,2.5124
1.41399,3.41709,1.45615,3.91531
1.41399,3.41709,1.20934,3.87329
4.20181,2.96114,4.37899,3.42869
4.20181,2.96114,4.11459,3.45347
4.42517,2.5124,4.44442,2.69521
4.42517,2.5124,4.63388,2.05804
1.45615,3.91531,1.47865,4.41481
1.20934,3.87329,1.08899,3.38799
1.20934,3.87329,1.15605,4.37045
4.37899,3.42869,4.45536,3.92282
4.37899,3.42869,4.87864,3.40999
4.44442,2.69521,4.64225,2.65638
1.15605,4.37045,1.0588,4.8609
4.45536,3.92282,4.61053,4.39814
4.45536,3.92282,4.33071,4.40704
4.87864,3.40999,5.2636,3.09092
4.87864,3.40999,5.28212,3.5238
4.87864,3.40999,4.9338,3.57336
4.61053,4.39814,4.73927,4.88128
4.61053,4.39814,5.10781,4.3461
5.2636,3.09092,4.92216,2.9769
5.2636,3.09092,5.75444,3.18615
4.73927,4.88128,4.96066,5.3296
4.73927,4.88128,4.70558,5.38014
5.10781,4.3461,5.36245,4.29884
5.75444,3.18615,5.83446,2.69259
4.96066,5.3296,5.32738,5.66947
4.96066,5.3296,5.45714,5.27043
5.83446,2.69259,5.82765,2.19264
5.32738,5.66947,5.72582,5.97154
5.32738,5.66947,5.25069,5.97916
5.45714,5.27043,5.95165,5.1965
5.82765,2.19264,6.28215,1.98424
5.72582,5.97154,5.62677,6.46163
5.72582,5.97154,6.21126,5.8518
5.72582,5.97154,6.04195,6.25317
5.25069,5.97916,5.16495,5.86197
5.95165,5.1965,6.41263,5.00285
5.62677,6.46163,6.06497,6.70242
6.21126,5.8518,6.65066,5.6132
6.41263,5.00285,6.6102,4.54354
6.06497,6.70242,6.4482,7.02357
6.06497,6.70242,5.90816,6.53267
6.65066,5.6132,7.14437,5.53413
6.65066,5.6132,7.12409,5.77405
6.6102,4.54354,6.90678,4.141
6.4482,7.02357,6.83142,7.34472
6.4482,7.02357,6.36821,7.51713
7.14437,5.53413,7.64337,5.56572
7.12409,5.77405,6.88593,6.21369
6.90678,4.141,7.29873,3.83056
6.83142,7.34472,7.05939,7.78973
7.64337,5.56572,8.11918,5.41207
6.88593,6.21369,7.34758,6.40571
7.29873,3.83056,7.79278,3.90744
7.05939,7.78973,7.45908,8.09015
7.05939,7.78973,7.29538,7.50102
7.05939,7.78973,7.16085,7.76573
7.05939,7.78973,6.76974,8.19728
8.11918,5.41207,8.61331,5.33568
7.34758,6.40571,7.78756,6.64324
7.34758,6.40571,7.23031,6.80579
7.79278,3.90744,7.88703,3.4164
7.79278,3.90744,7.75873,3.88659
7.45908,8.09015,7.85876,8.39056
8.61331,5.33568,8.88694,5.01333
7.78756,6.64324,7.87722,6.8208
7.85876,8.39056,8.25845,8.69098
7.85876,8.39056,7.6058,8.82185
7.85876,8.39056,8.26855,8.10408
8.25845,8.69098,8.65813,8.9914
8.26855,8.10408,8.76464,8.16646
8.65813,8.9914,9.05782,9.29182
8.65813,8.9914,8.68859,9.22549
8.76464,8.16646,9.0458,7.75299
9.05782,9.29182,9.4575,9.59224
9.4575,9.59224,9.85719,9.89266
